value,count
"Silver gelatin glass negative, 1/2 plate",100
Typed document,100
video/x-ms-wmv,100
Cotton Thread,98
Dye coupler transparency 35mm,98
Emulsion on glass,98
Oil on Canvas,98
no negs located,98
"Cellulosic film negative, 6.5. 6.5 cm",97
Photocopy of photographic print,97
ink on paper,97
7 Electronic document(s),96
Digital,96
ink,96
"1 electronic document ([2] p.) : col. ill., PDF file.",95
1 online resource : colour illustrations Quarterly,95
Lithograph,95
linocut,95
"¼ plate glass negative, 3.25 x 4.25 inches",95
"Cellulosic film negative, 8 x 10 inches",94
Canvas/Weave/Textile/Man-made Materials,93
"Orientation: Oval image, vertical",93
"Transparency, 35 mm., Black and White Transparency. Print: None.",93
"Cellulosic film negative, 6.5 x 6.5 cm OR Cellulosic film negative 3.25 x 4.25 inches",92
Earthenware,92
Grey-scale print,92
"Transparency, Black and White Transparency. Print: None.",92
colour lithograph,92
1 colour original transparency/ies mounted slide,91
Comics,91
Computer document,91
1 laser copy,90
1 online resource illustrations,90
Annotations,90
woodblock print,90
1 album(s) Album(s),89
13 x 8,89
37 x 23 cm,89
Duration: 0:01:00,89
Email,89
"Cellulosic film negative, 4 x 5 inches",88
Print (Carte-de-visite),88
application/vnd.ms-powerpoint,88
9 pages,87
Dry plate glass negative 8.1 cm x 10.7 cm,87
charcoal,87
"silver gelatin print, Agfa-branded photographic paper",87
29 x 16 cm,86
"Cellulosic film negative, 6.5 x 6.5 inches",86
Contact Sheet,86
watercolour and gouache,86
¼ plate Glass negative 3.25 x 4.25 inches,86
1 colour original negative(s) (Individual image on negative strip),85
"1 electronic document (12 p.) : col. ill., PDF file.",85
1 leaf,85
1 newspaper clipping.,85
1 online resource (1 chart) : colour,85
1 photograph : black and white ; 15 x 20 cm,85
38 x 12 cm,85
Enamel,85
"Film negative, 35mm",85
Interviews (Sound recordings),85
Orientation: Irregular format,85
16 x 10,84
1:1000000,84
1:250000,84
Brand: Ampex,84
Dye coupler transparency 6 x 9 cm,84
13 pages,83
Steel,83
albumen silver photograph,83
11 pages,82
Cellulosic film negative 6 x 6 centimetres,82
Certificates,82
"Diazo print, approx. 600 x 800 mm",82
Drawings,82
Glass plate negative; H 83mm x L 109mm,82
Language material,82
Shell,82
Web site. Irregular Began in 2018?,82
brown crayon,82
wash,82
1 online resource : illustration,81
80 x 80 mm,81
Electronic resource,81
Film negative 6 x 6 cm,81
pencil and watercolour,81
1 electronic document (12 p.) : PDF file.,80
1 electronic document (8 p.) : PDF file.,80
1 newspaper clipping,80
18 x 12,80
Conjectural works,80
Glass plate negative; H 83mm x L 107mm,80
Menus,80
Web site. Updated irregularly Began in 2010?,80
pen and ink,80
1 b&w photo-mechanical print(s) on poster.,79
Glass negative 3.25 x 4.25 inches,79
Scanned from newspaper,79
Cabinet print,78
Family portraits,78
"Glass negative,  4.75 x 6.5 inches",78
"Glass negative, 1/1 plate",78
Newspaper clipping,78
Orientation: Circular image,78
Updated irregularly Began in 2008?,78
Web site.,78
digital scan,78
"1 electronic document (11 p.) : col. ill., PDF file.",77
10 pages,77
Oil Paint,77
gouache,77
C-type print,76
Envelope,76
Glass plate negative; H 120mm x L 164mm,76
Quarter plate,76
"Silver gelatin glass negative, ½ plate",76
Sketch maps,76
"Transparency, 135 mm., Print: None.",76
Watermark: No watermark,76
1 online resource : colour.,75
Bound volume. Foolscap.,75
Illuminated manuscripts,75
Web site. Updated irregularly Began in 2012?,75
intaglio,75
1 b&w original negative(s) Ferrania film,74
1 leaf (3 pages),74
1 photograph : black and white : 16 x 22 cm,74
Bone,74
Digital audio tapes,74
"Film negative, 8.8cm x 6cm",74
Glass dry plate negative,74
Leather/Skin/Animal/Natural Materials,74
Velvet,74
stencil,74
1 online resource : ill.,73
Colour Slide,73
1 b&w original photographic print(s) mounted on card,72
1 electronic document (16 p.) : PDF file.,72
1 photograph : black and white ; 10 x 15 cm,72
13 Minutes Duration,72
Aqua,72
1 colour original negative(s) Single image on 35mm negative strip,71
6 digital photograph(s),71
8 digital photograph(s),71
Collodion printing-out paper prints,71
Duration: 00:30:00,71
Greeting cards,71
albumen photographic print,71
offset lithograph,71
1 electronic document (10 p.) : PDF file.,70
7 digital photograph(s),70
"Cellulosic film negative, 1/2 plate 4.75 x 6.5 inches",70
Lace,70
1:15000,69
Cellulosic film negative 6 x 6 cm,69
Certificate,69
"Film negative, 6 x 6 cm",69
Glass negative 4.75 x 6.5 inches,69
Menu,69
Personal narratives,69
etching and engraving,69
1 colour original negative(s) individual image on strip,68
1 electronic scan(s) of original black and white photographic print(s),68
1 glass plate slide : black and white ; 8.5 x 8.5 cm,68
1 online resource : colour illustration.,68
"3 photographs : black and white, negative, acetate ; 8 x 10.5 cm",68
38 x 23 cm,68
7 colour original negative(s) 35mm strips containing 38 images,68
Acrylic/Paint/Man-made Materials,68
Canvas,68
Gouaches,68
Loose Sheets,68
Nitrate negative,68
Self-portraits,68
Wet collodion glass negative 4.5 x 7.25 inches,68
oil stick on metallic paper,68
1 colour original negative(s) individual image on a 35mm strip,67
1:7920,67
35mm Colour Slide Film,67
6 digital cartoon(s),67
Glass plate negatives,67
Picture Postcard,67
albumen on paper,67
1 b&w original negative(s) (copy of original print returned to owner),66
1 electronic document (9 p.) : PDF file.,66
17 x 12,66
8 x 12,66
9 x 6,66
Film negative 17.25 x 11.75 cm,66
Updated irregularly Began in 2007?,66
oil on panel,66
14 pages,65
20 x 16 cm.,65
6 x 8 cm.,65
Black and white photographic print.,65
Greeting Card,65
Magazine article,65
Nitrate/Plastic/Photographic/Man-made Materials,65
Web site. Updated irregularly Began in 2011?,65
"h 203mm x w 254mm (""8 x 10″) medium",65
pdf file,65
1 electronic document (4 p.) : PDF file.,64
A4 size photocopy,64
"Cellulose triacetate negative, 5.6 x 5.6 cm",64
"Cellulosic film negative, 35mm",64
Glass plate negative; H 83mm x L 108mm,64
Parchment,64
Rubber,64
acrylic on paper,64
photograph (albumen print),64
15 pages,63
Beads,63
Cabinet card,63
Cellulose nitrate negative 8.5 x 6.5 inches,63
Paper Mulberry/Bark/Plant/Natural Materials,63
Web site. Irregular Began in 2020?,63
colour photograph,63
1 electronic document (20 p.) : PDF file.,62
1 electronic document (21 p.) : PDF file.,62
4 digital photograph(s),62
8 Electronic document(s),62
Bound volume. Typescript.,62
Brand: EMItape,62
Cellulosic film negative 6 x 9 cm,62
Paper document,62
Web site. Updated irregularly Began in 2013?,62
1 photograph : black and white : 4 cm x 6 cm,61
Satin,61
Typescript. 21 x 26 cm.,61
Web site. Irregular Began in 2017?,61
graphite/Art,61
3 digital photograph(s),60
Ambrotype,60
Brass; 155mm long x 77mm wide,60
"Cellulose triacetate film negative, 35mm",60
Duration: 01:00:00,60
Original format : Photograph,60
"photocopy, screenprint and dye on paper",60
1 colour photo-mechanical print(s) on postcard.,59
Kodak Colour Slide,59
"Photolithograph, 595 x 420 mm.",59
digital scan original photograph: h 90 mm x w 131 mm,59
1 DAT tape(s),58
1 electronic document (15 p.) : PDF file.,58
5 digital photograph(s),58
Cellulose triacetate negative 100 x 125 mm,58
Framed photograph,58
1 electronic document (11 p.) : PDF file.,57
1 electronic document (18 p.) : PDF file.,57
1 online resource :colour illustrations,57
Ink on paper,57
Kodachrome transparency,57
gelatin silver,57
1 electronic document (6 p.) : PDF file.,56
"1 electronic document (8 p.) : col. ill., PDF file.",56
Brand: SKC,56
C-type photographic print,56
Motion pictures,56
Photographic print mounted on cardboard,56
Updated irregularly Began in 2009?,56
Web site. Irregular Ceased in 2016?,56
bronze,56
video/mp4,56
"1 electronic document (16 p.) : col. ill., PDF file.",55
1 electronic document (28 p.) : PDF file.,55
"1 electronic document (9 p.) : col. ill., PDF file.",55
"1 electronic document ([4] p.) : col. ill., PDF file.",55
9 Electronic document(s),55
9 digital photograph(s),55
Animations (visual works),55
Digitized records,55
Iron,55
Muka (Flax),55
Picture,55
Positive,55
"Transparency, 135 mm., Black and White Transparency. Print: None.",55
Working drawings,55
1 electronic document (17 p.) : PDF file.,54
1 electronic document (19 p.) : PDF file.,54
"1 negative : nitrate, b&w.",54
1 photograph : colour ; 9 x 12.5 cm,54
12 digital photograph(s),54
25 x 20,54
34 x 25 cm,54
35mm film negative,54
"4 photographs : black and white, negative, acetate ; 8 x 10.5 cm",54
Book,54
Bromoil,54
Cardboard/General,54
Cellulosive film negative,54
Glass plate,54
Glass plate negative; H 122mm x L 166mm,54
Lawn,54
Map,54
Maps | http://vocab.getty.edu/aat/300028094,54
Online resource,54
Ribbon,54
"processed material, paper organic, vegetal, wood",54
1 interview(s),53
1 photograph : black and white : 16 x 21.5 cm,53
120 film negative,53
Cellulose Nitrate/Plastic Monochrome/Media/Photography,53
Cellulose nitrate film negative,53
Computer,53
Duration: 0:00:20,53
Feathers,53
Media duration: 90 minutes,53
Nylon,53
Screen Print,53
Text/jpg,53
1 online resource (5 audio files),52
1 online resource : charts.,52
11 digital photograph(s),52
12,52
1:100000,52
6 x 9,52
BW photographic print.,52
Cellulose triacetate negative 10 x 12.5 cm,52
Dye coupler negatives,52
Film strip : black and white ; 3.5 x 7.7 cm,52
Stoneware,52
Updated irregularly Began in 2011?,52
Web site. Irregular Began in 2019?,52
digital print,52
paper,52
pen,52
silkscreen,52
1 b&w photo-mechanical print(s) on postcard.,51
