content_partner,primary_collection,items_total,usage,count,usage_total
Eastern Institute of Technology,Shared Repository,107,All rights reserved,107,107
Energy Efficiency and Conservation Authority,Energy Efficiency and Conservation Authority,68,All rights reserved,68,68
Feilding Library,Feilding Library,4062,Share,3791,4062
Feilding Library,Feilding Library,4062,Modify,1764,4062
Feilding Library,Feilding Library,4062,Use commercially,1319,4062
Feilding Library,Feilding Library,4062,Unknown,271,4062
FigShare,FigShare,4,Modify,4,4
FigShare,FigShare,4,Share,4,4
FigShare,FigShare,4,Use commercially,4,4
Figure.NZ,Figure.NZ,46308,Share,45427,46308
Figure.NZ,Figure.NZ,46308,Modify,45282,46308
Figure.NZ,Figure.NZ,46308,Use commercially,45119,46308
Figure.NZ,Figure.NZ,46308,Unknown,881,46308
Forest and Bird,Forest and Bird,76,All rights reserved,76,76
Forest and Bird,Forest and Bird YouTube,245,All rights reserved,245,245
Free Music Archive,Free Music Archive,5,Modify,5,5
Free Music Archive,Free Music Archive,5,Share,5,5
Free Music Archive,Free Music Archive,5,Use commercially,5,5
Freesound,Freesound,65,Modify,65,65
Freesound,Freesound,65,Share,65,65
Freesound,Freesound,65,Use commercially,55,65
Gisborne Photo News,Gisborne Photo News,14190,Share,14190,14190
Gus Fisher Gallery,Gus Fisher Gallery NZMuseums,96,All rights reserved,96,96
Hamilton City Libraries,Hamilton Heritage Collections,10795,All rights reserved,10795,10795
HathiTrust,HathiTrust Digital Library,2317,Share,2316,2317
HathiTrust,HathiTrust Digital Library,2317,Modify,2139,2317
HathiTrust,HathiTrust Digital Library,2317,Use commercially,724,2317
HathiTrust,HathiTrust Digital Library,2317,All rights reserved,1,2317
Hawke's Bay Knowledge Bank,Hawke's Bay Knowledge Bank,29536,Modify,29536,29536
Hawke's Bay Knowledge Bank,Hawke's Bay Knowledge Bank,29536,Share,29536,29536
Howick Historical Village,Howick Historical Village NZMuseums,10322,All rights reserved,9627,10322
Howick Historical Village,Howick Historical Village NZMuseums,10322,Modify,695,10322
Howick Historical Village,Howick Historical Village NZMuseums,10322,Share,695,10322
Howick Historical Village,Howick Historical Village NZMuseums,10322,Use commercially,695,10322
Hurunui District Libraries,Hurunui Kete,1521,Share,1500,1521
Hurunui District Libraries,Hurunui Kete,1521,Modify,1389,1521
Hurunui District Libraries,Hurunui Kete,1521,All rights reserved,21,1521
Hurunui District Libraries,Hurunui Kete,1521,Use commercially,2,1521
Hutt City Council,Hutt City Council Archives,15899,Modify,15899,15899
Hutt City Council,Hutt City Council Archives,15899,Share,15899,15899
Hutt City Council,Hutt City Council Archives,15899,Use commercially,15899,15899
Hutt City Libraries,The Hutt City Libraries Online Heritage Collection,794,Modify,794,794
Hutt City Libraries,The Hutt City Libraries Online Heritage Collection,794,Share,794,794
Hutt City Libraries,The Hutt City Libraries Online Heritage Collection,794,Use commercially,794,794
